Analyzing c:/dev/projects/aegis\.gitignore with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\AGENTS.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\CHANGELOG.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\CLAUDE.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\CODE_OF_CONDUCT.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\CONTRIBUTING.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\GEMINI.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\LICENSE with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\pyproject.toml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\README.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\uv.lock with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\.github\actions\aegis-ci\action.yml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\.github\workflows\aegis-governance.yml with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\ARCHITECTURE.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\OPERATIONS.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\REVIEW.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\SPEC.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\adr\001-microkernel-architecture.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\adr\002-evaluation-engine-pipeline.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\adr\003-universal-harness-abstraction.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\adr\004-cross-agent-session-state.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
Analyzing c:/dev/projects/aegis\docs\adr\005-composable-rule-packs.md with 52 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions', 'design-factory-method', 'design-null-object', 'docs-module-docstring', 'docs-stale-markers', 'docs-deprecation-notice', 'general-binary-artifacts', 'general-private-keys', 'sec-no-hardcoded-aws-keys', 'sec-no-hardcoded-passwords', 'sec-no-connection-strings', 'sec-no-todo-security', 'sec-no-hardcoded-tokens', 'sec-no-eval', 'sec-no-sql-concatenation', 'sec-insecure-deserialization', 'sec-path-traversal', 'sec-jwt-validation', 'sec-no-subprocess-shell', 'sec-no-hardcoded-urls', 'sec-cors-wildcard', 'sec-input-validation', 'semantic-no-pii-exposure', 'semantic-retry-policy', 'struct-module-boundaries', 'struct-max-file-length', 'struct-no-utils', 'struct-circular-package', 'style-line-length', 'style-naming-convention', 'style-no-trailing-whitespace', 'style-consistent-imports', 'style-consistent-quotes', 'style-max-complexity', 'style-blank-lines', 'test-naming-convention', 'test-no-focused', 'plugin-no-evil']
